Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What district is your school in?,Please select your school in Attleboro.,DESE ID,Please select your school in Boston.,Please select your school in Lowell.,Please select your school in Milford.,Please select your school in Revere.,Please select your school in Somerville.,Please select your school in Winchester.,What is your student ID number?,What grade are you in?,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,Q90,Q90_3_TEXT,Q91,Q91_7_TEXT,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher,,,,,,,,
5/30/18 13:28,5/30/18 13:34,IP Address,216.163.221.198,100,368,TRUE,2018-05-30T13:34:41,R_3P5moOCuYe81zFS,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,3687,11th,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,,,,,,,,,,3,3,3,3,4,3,3,3,3,3,4,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,,,,,3,4,3,3,4,4,2,6,1,,3,,21,,,,,,EN,,,,English teacher
4/6/18 10:23,4/6/18 10:31,IP Address,216.163.221.198,95,454,FALSE,2018-04-07T10:45:31,R_29gg2NGVg7jxRvS,,,,,,,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,3314,11th,2,2,2,,,,,,,,,,3,4,3,5,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,5,3,1,1,3,3,5,5,5,4,,,,,,,,,,,,,,,,,,,H-CRE,,,pwofesÃ¨ syans sosyal,
5/30/18 13:15,5/30/18 13:24,IP Address,216.163.221.198,100,536,TRUE,2018-05-30T13:24:40,R_2AGQYzCEL9ELd7J,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,2683,11th,,,,,,,,,,,,,4,4,5,4,3,3,3,,,,,4,5,5,5,,,,,,,,,,,,,,4,5,4,5,4,1,1,5,1,5,3,5,3,2,1,3,5,5,5,5,4,5,3,4,5,4,4,,,,,,,,,,5,4,4,4,4,5,6,6,2,,2,,10,,,,,,EN,Math teacher,,,
6/4/18 10:32,6/4/18 10:41,IP Address,216.163.221.198,100,541,TRUE,2018-06-04T10:41:52,R_1hzLYYddtgjcN4c,,,,,42.30589294,-71.08589935,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,9083,11th,,,,,,,,,,,,,4,3,3,4,1,3,4,,,,,1,4,1,4,,,,,,,,,,,,,,3,4,5,4,4,5,1,4,1,3,3,4,5,5,5,5,4,4,4,4,2,4,3,2,4,3,4,,,,,,,,,,2,5,3,1,4,2,6,6,2,,3,,23,,,,,,EN,,,,English teacher
5/30/18 11:34,5/30/18 11:45,IP Address,216.163.221.198,100,632,TRUE,2018-05-30T11:45:20,R_brOPag21kbWJE1H,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,699,11th,4,4,1,,,,,,,,,,3,2,2,3,3,4,4,2,1,1,1,2,3,3,3,2,3,3,3,2,1,1,,,,,,,3,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,4,4,5,,4,4,4,4,4,4,4,4,3,4,4,6,7,1,,3,,22,,,,,,PT-BR,,,Professor de Estudos Sociais,
5/30/18 14:06,5/30/18 14:17,IP Address,216.163.221.198,100,668,TRUE,2018-05-30T14:17:56,R_cMAtkBaN1SOeUQV,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,3911,11th,,,,,,,,,,,,,,,,,,,,1,3,2,2,,,,,,,,,1,1,3,,,,,,,3,2,3,5,5,4,2,2,5,,,2,1,3,4,2,2,1,,1,,2,2,2,3,3,2,,,,,,4,3,2,2,4,3,2,3,2,3,1,2,2,,3,,23,,,,,,EN,Math teacher,,,
5/30/18 11:35,5/30/18 11:46,IP Address,216.163.221.198,100,684,TRUE,2018-05-30T11:46:40,R_3MS6T1EiEpN1iyC,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,8129,11th,3,4,1,,,,,,,,,,1,3,5,5,4,3,4,4,4,3,3,1,4,4,4,3,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,5,4,3,4,4,3,4,3,1,1,5,3,4,4,4,4,,,,,,,6,6,1,,4,,1,,,,,,ES,maestro de matemÃ¡ticas,,,
4/5/18 12:23,4/5/18 12:35,IP Address,216.163.221.198,91,691,FALSE,2018-04-06T12:36:30,R_pzaNMngxbOFYIcp,,,,,,,anonymous,SOM,Boston,,00350548,Boston Adult Technical Academy,,,,,,4041,11th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOM,,,,macalinkaaga Ingiriisida
5/31/18 10:51,5/31/18 11:03,IP Address,216.163.221.198,100,737,TRUE,2018-05-31T11:3:55,R_3PjEwgN4fA4vjon,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,9959,11th,1,1,1,,,,,,,,,,4,4,3,4,5,5,3,4,3,5,4,3,5,4,4,3,3,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,4,4,5,3,4,2,5,3,4,4,4,4,1,4,3,5,4,4,5,,,,,,,6,6,1,,3,,22,,,,,,EN,,,,English teacher
5/30/18 13:13,5/30/18 13:27,IP Address,216.163.221.198,100,818,TRUE,2018-05-30T13:27:19,R_1pXNTzkbHNGelu4,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,2829,11th,5,5,2,,,,,,,,,,1,3,3,4,3,3,4,3,3,1,3,3,4,3,3,5,3,3,3,3,3,3,,,,,,,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,3,4,4,4,4,2,4,3,3,4,4,6,7,2,,4,,1,,,,,,ES,,,maestro de estudios sociales,
5/30/18 11:37,5/30/18 11:51,IP Address,216.163.221.198,100,821,TRUE,2018-05-30T11:51:30,R_3e3rL5A2EmLCblu,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,5233,11th,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,4,3,4,3,3,1,1,4,1,4,4,4,3,3,3,5,5,4,1,2,3,3,3,4,4,5,2,5,2,4,4,4,,,,,4,4,3,4,4,4,7,7,2,,4,,16,,,,,,ES,maestro de matemÃ¡ticas,,,
5/30/18 13:24,5/30/18 13:38,IP Address,216.163.221.198,100,832,TRUE,2018-05-30T13:38:37,R_2fs3IoDb7Qz0ZN1,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,8833,11th,3,3,4,,,,,,,,,,4,4,5,4,4,4,3,5,4,5,4,5,5,4,5,5,4,4,2,4,5,4,,,,,,,,,,,,2,3,4,2,5,5,5,5,5,2,5,,,,,,,,,,,,4,4,5,5,5,5,5,5,5,,,,,,,2,6,2,,3,,19,,,,,,EN,,Science teacher,,
5/30/18 13:09,5/30/18 13:23,IP Address,216.163.221.198,100,850,TRUE,2018-05-30T13:23:44,R_2dMZuHQME8eQ9OX,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,3051,11th,4,3,5,,,,,,,,,,4,3,3,3,5,5,5,5,4,4,4,5,5,3,2,4,3,3,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,4,5,4,3,5,2,4,4,2,5,2,3,3,2,4,5,,,,,,,7,6,2,,4,,1,,,,,,EN,,Science teacher,,
4/5/18 11:20,4/5/18 11:35,IP Address,216.163.221.198,100,887,TRUE,2018-04-05T11:35:11,R_2rOswp7UyAuJiPF,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,3209,11th,3,3,1,,,,,,,,,,4,4,5,4,4,4,4,4,4,3,4,4,5,5,4,4,4,5,4,3,3,3,,,,,,,4,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,5,5,4,5,5,4,5,4,,5,7,7,2,,4,,11,,,peru ,,,ES,,,maestro de estudios sociales,
5/8/18 11:07,5/8/18 11:22,IP Address,216.163.221.198,100,898,TRUE,2018-05-08T11:22:19,R_XifnBCDx8T3QOid,,,,,42.2848053,-71.07409668,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,767,11th,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,1,,,,,,,,,,3,4,4,5,4,3,1,5,2,3,4,4,5,4,1,1,4,5,5,5,5,4,3,3,3,3,4,4,2,4,5,5,,,,,5,5,5,5,5,5,6,6,2,,4,,1,,,,,,EN,Math teacher,,,
5/30/18 14:28,5/30/18 14:43,IP Address,216.163.221.198,100,913,TRUE,2018-05-30T14:43:44,R_1IWcWv8P0orB4Es,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,4115,11th,,1,1,,,,,,,,,,3,1,2,3,2,4,2,3,2,5,1,3,4,2,3,2,1,1,1,3,2,1,,,,,,,,,,,,4,2,5,1,3,3,3,4,2,2,2,,,,,,,,,,,,5,4,4,3,4,4,3,4,4,,,,,,,6,6,2,,4,,1,,,,,,ES,,maestro de ciencias,,
5/30/18 15:20,5/30/18 15:36,IP Address,216.163.221.198,100,926,TRUE,2018-05-30T15:36:1,R_3lDMk8or5hS5gJE,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,676,11th,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,4,4,4,,,,,,,4,4,3,4,2,4,1,4,1,5,5,5,5,3,5,5,5,1,1,5,1,5,3,3,3,3,4,,,,,,5,4,4,5,4,3,4,4,4,4,7,7,1,,4,,12,,,,,,ES,,,maestro de estudios sociales,
5/30/18 11:37,5/30/18 11:53,IP Address,216.163.221.198,100,939,TRUE,2018-05-30T11:53:19,R_2VF4hK4Saott82i,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,1310,11th,,,,,,,,,,,,,,,,,,,,4,5,5,5,,,,,,,,,5,4,4,,,,,,,2,4,3,3,4,2,1,4,1,5,4,5,4,3,3,4,3,3,4,4,3,3,3,3,1,4,3,,,,,,5,4,4,4,4,3,5,3,5,4,6,6,2,,6,,22,,,,,,PT-BR,,,,Professor de InglÃªs
5/31/18 13:20,5/31/18 13:36,IP Address,216.163.221.198,100,963,TRUE,2018-05-31T13:36:50,R_2QASWA0QyYmKLz0,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,3050,11th,2,2,1,,,,,,,,,,3,3,3,3,3,3,2,4,4,3,2,4,4,4,4,5,2,4,1,4,4,4,,,,,,,2,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,4,3,4,4,3,4,3,4,4,4,4,6,6,2,,4,,12,,,,,,EN,,,maestro de estudios sociales,
5/8/18 11:03,5/8/18 11:19,IP Address,216.163.221.198,100,1003,TRUE,2018-05-08T11:19:50,R_33p65DCROQSJcNc,,,,,42.2848053,-71.07409668,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,2696,11th,,,,,,,,,,,,,4,3,3,3,4,4,4,,,,,4,4,3,3,,,,,,,,,,,,,,5,4,3,4,4,2,2,4,2,5,5,5,5,2,4,4,3,5,5,5,4,4,2,5,4,4,4,,,,,,,,,,5,5,5,5,5,5,6,6,1,,2,,10,,,,,,EN,,,,English teacher
5/31/18 9:24,5/31/18 9:41,IP Address,216.163.221.198,100,1042,TRUE,2018-05-31T9:41:49,R_1LtK7Cyk4CgaiG4,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,1594,11th,,,,,,,,,,,,,4,4,4,4,2,4,4,,,,,4,3,4,5,,,,,,,,,,,,,,4,4,5,3,3,4,2,5,1,5,5,5,5,4,4,5,5,5,3,5,3,5,5,5,4,4,4,,,,,,,,,,3,3,3,3,3,3,7,6,1,,3,,3,,,,,,H-CRE,,pwofesÃ¨ Syans,,
5/31/18 10:35,5/31/18 10:53,IP Address,216.163.221.198,100,1042,TRUE,2018-05-31T10:53:22,R_2CV6aTWh7DuEcLx,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,1236,11th,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,4,,,,,,,,,,5,5,4,4,5,3,1,5,2,5,4,5,5,5,5,5,5,5,4,4,4,5,5,3,3,5,4,4,3,5,3,4,,,,,4,4,4,3,4,5,6,7,2,,3,,21,,,,,,EN,,Science teacher,,
5/31/18 9:29,5/31/18 9:46,IP Address,216.163.221.198,100,1043,TRUE,2018-05-31T9:46:48,R_0AItfaG40vJJrTr,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,1527,11th,,,,,,,,,,,,,,,,,,,,3,4,3,4,,,,,,,,,3,4,4,,,,,,,3,3,5,2,3,2,1,3,2,5,2,3,3,2,4,2,3,4,4,4,3,4,2,3,4,2,5,,,,,,4,5,4,2,4,5,5,5,3,5,6,6,1,,7,,3,,,,,,H-CRE,,,,pwofesÃ¨ Angle
5/30/18 12:34,5/30/18 12:51,IP Address,216.163.221.198,100,1050,TRUE,2018-05-30T12:51:58,R_Wxvj9mKpSUD7FiF,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,1553,11th,1,1,1,,,,,,,,,,5,5,5,5,5,5,4,3,3,4,4,5,5,5,5,4,3,3,1,5,3,4,,,,,,,,,,,,1,1,5,1,5,1,5,4,1,3,5,,,,,,,,,,,,5,4,5,5,5,2,5,4,4,,,,,,,2,2,2,,2,,11,,,,,,EN,Math teacher,,,
4/5/18 11:19,4/5/18 11:37,IP Address,216.163.221.198,92,1061,FALSE,2018-04-06T11:37:54,R_WupiyKRq8LWDFtL,,,,,,,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,1236,11th,4,5,3,,,,,,,,,,3,3,2,1,,,,,,,,,,,,,,,,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,,,,English teacher
5/30/18 10:17,5/30/18 10:35,IP Address,216.163.221.198,100,1068,TRUE,2018-05-30T10:35:11,R_3j27LTELHPyG5lz,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,17,11th,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,,,,,,,,,,4,4,3,3,3,3,3,4,3,4,3,4,4,3,4,3,2,2,3,4,4,5,3,3,3,5,4,3,1,3,3,3,,,,,4,3,3,4,4,3,7,7,2,,4,,16,,,,,,ES,,,maestro de estudios sociales,
5/14/18 13:58,5/14/18 14:16,IP Address,216.163.221.198,100,1096,TRUE,2018-05-14T14:16:25,R_3emcXKUjvP3BFRv,,,,,42.2848053,-71.07409668,anonymous,CREOLE-CV,Boston,,00350548,Boston Adult Technical Academy,,,,,,1,11th,4,4,1,,,,,,,,,,4,3,3,4,4,2,3,3,2,3,2,3,4,2,4,3,3,2,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,5,4,1,3,3,4,5,2,4,2,4,4,4,4,3,3,,,,,,,6,6,1,,3,,22,,,,,,CREOLE-CV,,,,professor di Ingles
6/6/18 14:53,6/6/18 15:12,IP Address,216.163.221.198,100,1096,TRUE,2018-06-06T15:12:13,R_3et22Bm4rl7e55E,,,,,42.30589294,-71.08589935,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,895,11th,,,,,,,,,,,,,,,,,,,,3,3,4,3,,,,,,,,,1,3,3,,,,,,,4,5,4,5,3,1,1,4,1,4,5,4,5,3,3,2,3,3,5,5,5,5,4,5,5,3,4,,,,,,5,5,5,5,5,5,,5,5,5,2,2,1,,3,,3,,,,,,H-CRE,pwofesÃ¨ Matematik,,,
5/30/18 13:55,5/30/18 14:14,IP Address,216.163.221.198,100,1115,TRUE,2018-05-30T14:14:9,R_Amtqfd3vaUpZXUZ,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,4111,11th,3,4,1,,,,,,,,,,2,2,3,3,2,3,2,2,3,2,2,3,3,3,3,4,2,3,2,3,3,3,,,,,,,,,,,,4,2,4,2,4,2,2,4,2,,2,,,,,,,,,,,,5,3,1,4,2,3,3,1,2,,,,,,,2,6,1,,4,,1,,,,,,ES,,,maestro de estudios sociales,
5/30/18 13:13,5/30/18 13:32,IP Address,216.163.221.198,100,1128,TRUE,2018-05-30T13:32:4,R_T7OiZXoE8x7eCc1,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,71,11th,4,3,2,,,,,,,,,,3,3,,1,2,,3,,4,,3,2,3,4,3,2,,1,5,2,5,2,,,,,,,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,5,4,4,2,3,2,2,3,4,4,3,3,7,6,1,,3,,4,,,,,,EN,,,,English teacher
5/31/18 14:39,5/31/18 14:58,IP Address,216.163.221.198,100,1133,TRUE,2018-05-31T14:58:14,R_24MZaGzNsJRTCOI,,,,,42.32269287,-71.08470154,anonymous,SOM,Boston,,00350548,Boston Adult Technical Academy,,,,,,4041,11th,2,1,1,,,,,,,,,,3,4,2,4,4,4,4,3,3,4,1,4,4,4,4,5,5,1,4,2,4,4,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,5,5,4,1,3,4,4,5,4,5,5,5,5,3,3,5,,,,,,,6,6,2,,7,waxan ahy somali ,21,,,,,,SOM,,,,English teacher
5/30/18 14:31,5/30/18 14:50,IP Address,216.163.221.198,100,1136,TRUE,2018-05-30T14:50:33,R_1rAfwkQ2kR3fqFQ,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,3956,11th,,,,,,,,,,,,,4,4,5,5,4,5,4,,,,,5,4,4,4,,,,,,,,,,,,,,4,4,4,4,3,5,1,4,1,5,4,5,5,2,3,4,5,5,3,5,3,5,1,4,5,4,4,,,,,,,,,,5,4,5,4,3,4,7,7,1,,,,22,,,,,,PT-BR,Professor de MatemÃ¡tica,,,
5/30/18 14:05,5/30/18 14:24,IP Address,216.163.221.198,100,1154,TRUE,2018-05-30T14:24:53,R_31ZzvUcHkowa31w,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,6024,11th,,,,,,,,,,,,,3,5,5,5,3,3,3,,,,,5,2,5,2,,,,,,,,,,,,,,5,5,2,5,5,1,2,3,1,2,2,2,5,2,2,5,5,5,2,5,2,5,1,2,5,5,2,,,,,,,,,,3,3,2,5,2,5,7,6,2,,3,,23,,,,Republic of Congo,,EN,,,,English teacher
5/30/18 13:50,5/30/18 14:10,IP Address,216.163.221.198,100,1179,TRUE,2018-05-30T14:10:18,R_0P2WetjMEQKQD05,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,3438,11th,,,,,,,,,,,,,3,5,3,2,5,4,3,,,,,5,5,4,3,,,,,,,,,,,,,,4,5,5,5,4,2,4,4,4,5,4,5,4,3,2,5,3,5,5,5,3,3,1,3,2,5,4,,,,,,,,,,3,5,5,3,,4,6,6,1,,3,,23,,,,Ethiopia ,,EN,,,Social Studies teacher,
4/5/18 11:25,4/5/18 11:45,IP Address,216.163.221.198,100,1190,TRUE,2018-04-05T11:45:47,R_2f1K9cblSfj0O6H,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,1717,11th,3,3,1,,,,,,,,,,2,3,3,3,4,3,3,3,2,2,3,3,3,3,3,5,2,3,1,4,4,1,,,,,,,,,,,,3,1,4,1,2,2,2,2,3,3,3,,,,,,,,,,,,4,2,2,4,4,3,3,4,4,,,,,,,6,6,2,,3,,16,,,,,,ES,,maestro de ciencias,,
5/30/18 13:57,5/30/18 14:17,IP Address,216.163.221.198,100,1196,TRUE,2018-05-30T14:17:49,R_8v3MV6O2sdHssYV,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,4057,11th,,,,,,,,,,,,,,,,,,,,5,4,5,4,,,,,,,,,4,5,4,,,,,,,4,3,3,3,3,5,1,4,1,5,4,5,5,4,5,4,3,3,4,5,4,5,5,5,5,5,5,,,,,,5,4,4,5,3,4,5,4,3,5,6,7,1,,3,,3,,,,,,H-CRE,,pwofesÃ¨ Syans,,
5/31/18 13:09,5/31/18 13:29,IP Address,216.163.221.198,100,1197,TRUE,2018-05-31T13:29:6,R_1FL0kugxKIME7SG,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,991,11th,2,1,1,,,,,,,,,,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,2,4,4,3,3,5,3,,,,,,,,,,,,3,1,3,1,5,3,4,4,3,4,2,,,,,,,,,,,,4,2,2,3,3,3,2,4,2,,,,,,,2,6,2,,3,,22,,,,,,PT-BR,Professor de MatemÃ¡tica,,,
