Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What district is your school in?,Please select your school in Attleboro.,DESE ID,Please select your school in Boston.,Please select your school in Lowell.,Please select your school in Milford.,Please select your school in Revere.,Please select your school in Somerville.,Please select your school in Winchester.,What is your student ID number?,What grade are you in?,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,Q90,Q90_3_TEXT,Q91,Q91_7_TEXT,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher,,,,,,,,
5/31/18 15:06,5/31/18 15:26,IP Address,216.163.221.198,100,1201,TRUE,2018-05-31T15:26:51,R_ThNbMwAapk8vOSZ,,,,,42.32269287,-71.08470154,anonymous,SOM,Boston,,00350548,Boston Adult Technical Academy,,,,,,3944,11th,,,,,,,,,,,,,4,5,5,5,5,5,5,,,,,5,5,4,4,,,,,,,,,,,,,,5,4,5,5,4,1,1,5,1,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,,,,,,,,,,5,5,5,5,5,5,7,7,1,,1,,21,,,,,,SOM,,,,macalinkaaga Ingiriisida
4/5/18 11:19,4/5/18 11:39,IP Address,216.163.221.198,100,1204,TRUE,2018-04-05T11:39:20,R_3paUyVVerb1cd3k,,,,,42.30589294,-71.08589935,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,1511,11th,,,,,,,,,,,,,3,1,4,1,1,2,2,,,,,2,4,3,1,,,,,,,,,,,,,,2,4,3,3,4,3,1,3,2,4,2,4,2,2,1,5,1,3,2,4,1,3,2,1,3,5,4,,,,,,,,,,2,3,2,1,1,3,6,1,2,,3,,23,,,,eritrean,,EN,,,,English teacher
4/5/18 12:22,4/5/18 12:43,IP Address,216.163.221.198,100,1217,TRUE,2018-04-05T12:43:13,R_32QSRN0qgkjdHDf,,,,,42.30589294,-71.08589935,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,699,11th,2,2,2,,,,,,,,,,5,4,2,,4,3,3,2,4,1,1,1,3,3,3,2,5,4,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,2,3,4,4,3,5,1,3,5,4,4,4,3,2,4,1,4,3,4,4,,,,,,,1,2,1,,7,,22,,,,,,PT-BR,Professor de MatemÃ¡tica,,,
5/30/18 14:35,5/30/18 14:55,IP Address,216.163.221.198,100,1223,TRUE,2018-05-30T14:55:56,R_Ap2I7qdxajZskuZ,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,9207,11th,2,1,1,,,,,,,,,,2,3,1,3,4,4,2,3,1,1,1,1,4,1,3,4,4,4,2,4,3,3,,,,,,,1,3,5,2,3,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,3,5,3,3,3,4,4,4,2,5,4,6,1,1,,,,22,,,,,,PT-BR,Math teacher,,,
6/4/18 12:00,6/4/18 12:21,IP Address,216.163.221.198,100,1238,TRUE,2018-06-04T12:21:29,R_1MK9LqhTTGMcUQ6,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,2843,11th,1,3,1,,,,,,,,,,4,4,4,3,3,4,2,3,2,5,4,4,4,3,3,3,4,2,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,3,5,4,3,4,3,3,5,3,5,4,5,5,4,4,4,,,,,,,6,6,1,,4,,1,,,,,,ES,,maestro de ciencias,,
5/30/18 10:52,5/30/18 11:13,IP Address,216.163.221.198,100,1244,TRUE,2018-05-30T11:13:1,R_2qwIvmuqkeXa4LB,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,4015,11th,1,1,1,,,,,,,,,,4,4,4,4,5,4,5,5,4,4,4,3,4,3,3,5,4,5,3,3,3,5,,,,,,,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,4,5,4,4,4,4,4,5,5,5,4,7,7,1,,4,,1,,,,,,ES,,,maestro de estudios sociales,
5/30/18 10:38,5/30/18 10:59,IP Address,216.163.221.198,100,1257,TRUE,2018-05-30T10:59:42,R_Y9vAdjkaRa3hJgB,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,8448,11th,5,4,1,,,,,,,,,,4,3,4,4,2,4,1,1,3,3,3,1,5,4,4,4,5,3,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,3,4,2,4,4,4,4,4,2,3,3,4,5,4,4,3,,,,,,,6,6,2,,4,,15,,,,,,ES,,,maestro de estudios sociales,
5/30/18 15:21,5/30/18 15:42,IP Address,216.163.221.198,100,1259,TRUE,2018-05-30T15:42:59,R_snGzPCRbff6XUn7,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,1475,11th,3,2,1,,,,,,,,,,4,3,3,4,3,4,3,4,5,4,4,4,3,4,4,4,3,4,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,1,3,3,5,4,5,2,3,3,5,5,3,3,4,2,2,4,4,4,4,,,,,,,6,7,1,,4,,16,,,,,,ES,maestro de matemÃ¡ticas,,,
5/8/18 11:08,5/8/18 11:29,IP Address,216.163.221.198,100,1282,TRUE,2018-05-08T11:29:28,R_1mXgZiodgWB2bFx,,,,,42.2848053,-71.07409668,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,2897,11th,3,4,3,,,,,,,,,,3,4,3,3,5,4,5,5,5,4,5,4,5,5,4,5,5,4,2,5,4,3,,,,,,,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,5,3,3,4,5,4,4,4,4,4,4,3,3,4,4,6,6,1,,4,,12,,,,,,ES,,,,maestro de InglÃ©s
5/30/18 13:03,5/30/18 13:24,IP Address,216.163.221.198,100,1283,TRUE,2018-05-30T13:24:39,R_2cuD7gTtcrs62QN,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,2897,11th,,,,,,,,,,,,,,,,,,,,2,5,4,5,,,,,,,,,4,4,4,,,,,,,3,3,3,3,3,2,2,3,4,4,5,5,5,5,5,5,2,4,4,5,4,5,4,5,5,5,4,,,,,,4,4,5,4,4,4,4,4,4,3,6,6,1,,4,,12,,,,,,ES,,maestro de ciencias,,
5/30/18 13:57,5/30/18 14:18,IP Address,216.163.221.198,100,1293,TRUE,2018-05-30T14:18:45,R_1q1zCyYBxE9qOgM,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,4756,11th,2,2,1,,,,,,,,,,3,3,3,1,5,5,4,4,4,3,4,4,5,5,4,1,5,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,5,3,4,5,5,5,3,3,5,5,5,5,4,5,4,5,5,5,4,5,,,,,,,7,2,2,,3,,22,,,,,,PT-BR,,,,Professor de InglÃªs
5/30/18 14:31,5/30/18 14:53,IP Address,216.163.221.198,100,1293,TRUE,2018-05-30T14:53:29,R_3HojAgH8z2pqSml,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,391,11th,,,,,,,,,,,,,,,,,,,,4,3,4,4,,,,,,,,,4,4,5,,,,,,,5,4,4,5,4,4,1,5,2,5,5,5,5,2,4,5,2,4,3,5,4,5,2,2,4,4,5,,,,,,5,5,4,5,4,5,5,5,5,5,7,6,2,,3,,22,,,,,,PT-BR,,Professor de CiÃªncias,,
5/30/18 13:57,5/30/18 14:19,IP Address,216.163.221.198,100,1304,TRUE,2018-05-30T14:19:11,R_1IQNnqyfvNOW4bl,,,,,42.32269287,-71.08470154,anonymous,CREOLE-CV,Boston,,00350548,Boston Adult Technical Academy,,,,,,2181,11th,2,4,2,,,,,,,,,,2,2,2,4,3,4,2,4,4,3,1,4,3,1,3,2,2,2,3,2,4,2,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,3,4,4,3,4,3,3,3,4,2,3,2,2,3,3,4,,,,,,,6,6,2,,3,,22,,,,,,CREOLE-CV,,,professor di estudus sosiais,
4/5/18 11:19,4/5/18 11:43,IP Address,216.163.221.198,100,1440,TRUE,2018-04-05T11:43:54,R_sMaKaAMQnb6fcJ3,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,8448,11th,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,4,,,,,,,,,,4,4,4,3,3,2,1,4,1,4,4,4,5,3,3,4,2,1,3,4,3,4,2,4,4,3,4,2,1,1,3,4,,,,,2,3,2,2,2,3,6,7,2,,4,,15,,,,,,ES,,,,maestro de InglÃ©s
5/30/18 11:01,5/30/18 11:25,IP Address,216.163.221.198,100,1441,TRUE,2018-05-30T11:25:10,R_xyHjJtqBPPPVPlT,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,9232,11th,1,1,1,,,,,,,,,,4,5,1,4,3,2,4,3,4,3,4,3,4,1,4,5,1,3,3,2,4,3,,,,,,,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,4,5,4,4,4,4,4,3,5,5,4,6,2,2,,3,,3,,,,,,H-CRE,,,,pwofesÃ¨ Angle
5/30/18 10:59,5/30/18 11:24,IP Address,216.163.221.198,100,1485,TRUE,2018-05-30T11:24:26,R_DhN5j5bsYhgRhVn,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,2765,11th,,,,,,,,,,,,,3,4,3,5,5,5,3,,,,,2,5,4,3,,,,,,,,,,,,,,4,5,5,5,5,2,2,5,3,5,2,4,3,5,5,,5,5,5,5,4,5,5,5,5,5,5,,,,,,,,,,4,5,5,4,5,5,7,7,2,,3,,3,,,,,,H-CRE,,,pwofesÃ¨ syans sosyal,
5/30/18 13:54,5/30/18 14:19,IP Address,216.163.221.198,100,1511,TRUE,2018-05-30T14:19:59,R_CfCfrg8Yb32TqSt,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,736,11th,1,1,4,,,,,,,,,,3,3,3,3,3,5,3,3,4,3,5,3,3,1,3,5,3,3,4,1,5,5,,,,,,,,,,,,1,1,5,1,5,4,4,5,1,3,5,,,,,,,,,,,,5,5,5,4,3,4,5,4,1,,,,,,,6,6,1,,3,,3,,,,,,H-CRE,,,,pwofesÃ¨ Angle
5/30/18 13:07,5/30/18 13:32,IP Address,216.163.221.198,100,1535,TRUE,2018-05-30T13:32:38,R_3iyjm4ajni0Bpxu,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,9597,11th,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,1,,,,,,,,,,4,4,4,4,4,2,1,5,1,5,3,4,5,4,4,5,5,5,1,4,1,5,3,5,5,5,4,5,4,4,5,4,,,,,5,,5,,5,4,7,6,1,,6,,12,,,,,,ES,,,,maestro de InglÃ©s
5/30/18 13:54,5/30/18 14:20,IP Address,216.163.221.198,100,1536,TRUE,2018-05-30T14:20:23,R_3JKuWeBOzrkgwIN,,,,,42.32269287,-71.08470154,anonymous,H-CRE,Boston,,00350548,Boston Adult Technical Academy,,,,,,4368,11th,1,1,4,,,,,,,,,,4,5,5,5,2,4,3,4,5,4,3,4,5,5,4,3,2,3,4,1,5,4,,,,,,,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,4,3,4,3,3,3,3,2,3,,3,6,6,1,,3,,3,,,,,,H-CRE,,pwofesÃ¨ Syans,,
6/6/18 10:04,6/6/18 10:30,IP Address,216.163.221.198,100,1560,TRUE,2018-06-06T10:30:14,R_1jSTlK11Xb5BO6c,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,2625,11th,,,,,,,,,,,,,5,5,5,5,2,4,3,,,,,4,5,4,4,,,,,,,,,,,,,,4,4,5,4,4,1,3,4,,4,4,4,3,1,4,5,3,5,3,4,3,3,2,5,3,5,5,,,,,,,,,,2,4,4,4,4,4,1,7,2,,4,,15,,,,,,ES,,maestro de ciencias,,
5/30/18 14:33,5/30/18 14:59,IP Address,216.163.221.198,100,1589,TRUE,2018-05-30T14:59:32,R_3syTFhc5odfQ87k,,,,,42.32269287,-71.08470154,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,1356,11th,,,,,,,,,,,,,4,2,4,5,4,4,2,,,,,5,5,5,5,,,,,,,,,,,,,,5,5,5,5,5,1,1,5,1,5,4,5,5,2,2,4,3,3,4,5,2,5,1,5,5,5,5,,,,,,,,,,3,4,5,1,4,4,7,7,2,,3,,22,,,,,,PT-BR,,professor di siensias,,
5/14/18 13:57,5/14/18 14:24,IP Address,216.163.221.198,100,1608,TRUE,2018-05-14T14:24:35,R_1OC5ATfgWX03xsk,,,,,42.2848053,-71.07409668,anonymous,CREOLE-CV,Boston,,00350548,Boston Adult Technical Academy,,,,,,1788,11th,2,1,1,,,,,,,,,,3,5,4,3,4,5,3,3,5,5,5,4,5,5,4,4,5,5,1,5,3,4,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,3,5,2,4,1,5,5,5,3,3,5,4,3,5,4,5,,,,,,,2,6,1,,3,,22,,,,,,CREOLE-CV,,,Social Studies teacher,
5/30/18 10:39,5/30/18 11:06,IP Address,216.163.221.198,100,1620,TRUE,2018-05-30T11:6:28,R_1QhDPptf04MfZjN,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,8290,11th,,,,,,,,,,,,,4,3,4,2,3,3,4,,,,,4,4,4,5,,,,,,,,,,,,,,2,4,3,4,3,1,,1,1,4,3,5,4,3,2,4,2,1,3,4,2,3,3,3,4,3,4,,,,,,,,,,4,4,4,3,2,3,6,6,2,,4,,15,,,,,,ES,maestro de matemÃ¡ticas,,,
6/1/18 8:59,6/1/18 9:26,IP Address,216.163.221.198,100,1625,TRUE,2018-06-01T9:26:34,R_2QYRq3aFAbT2Vxf,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,1327,11th,2,1,2,,,,,,,,,,4,2,3,4,4,5,3,3,1,4,3,3,4,3,3,2,3,3,2,3,,5,,,,,,,2,3,5,5,3,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,2,2,4,3,4,4,4,4,2,3,5,6,6,2,,2,,11,,,,,,EN,,,,English teacher
5/30/18 10:16,5/30/18 10:44,IP Address,216.163.221.198,100,1714,TRUE,2018-05-30T10:44:59,R_1jIg7CpWb64vga1,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,3229,11th,2,3,1,,,,,,,,,,2,2,2,2,3,4,3,1,2,3,3,4,2,2,2,3,3,3,1,2,2,2,,,,,,,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,4,4,1,4,4,3,2,4,2,4,3,3,4,3,3,1,6,2,,6,,15,,,,,,ES,,maestro de ciencias,,
5/30/18 13:05,5/30/18 13:34,IP Address,216.163.221.198,100,1743,TRUE,2018-05-30T13:34:58,R_Dei1FwjwjSC6NH3,,,,,42.32269287,-71.08470154,anonymous,CREOLE-CV,Boston,,00350548,Boston Adult Technical Academy,,,,,,4168,11th,5,2,1,,,,,,,,,,4,4,3,4,4,5,4,5,3,4,4,4,4,3,4,5,3,3,3,4,4,5,,,,,,,,,,,,2,2,4,2,5,4,4,3,3,5,5,,,,,,,,,,,,4,4,4,5,3,4,4,5,5,,,,,,,6,6,1,,3,,22,,,,,,CREOLE-CV,professor di matematika,,,
5/31/18 13:11,5/31/18 13:40,IP Address,216.163.221.198,100,1767,TRUE,2018-05-31T13:40:28,R_3oAvv5mUnxcoNvM,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,9830,11th,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,4,,,,,,,,,,3,4,4,3,3,4,5,4,5,3,4,3,3,4,3,3,5,5,4,,3,3,5,5,,3,3,3,2,3,4,4,,,,,3,4,4,3,4,4,6,2,2,,3,,23,,,,,,EN,,,,English teacher
4/5/18 12:34,4/5/18 13:04,IP Address,216.163.221.198,100,1833,TRUE,2018-04-05T13:4:40,R_22RAg2aYHVTce60,,,,,42.30589294,-71.08589935,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,3956,11th,2,1,1,,,,,,,,,,3,3,4,4,4,4,5,2,4,3,5,5,5,4,4,3,5,5,4,4,5,5,,,,,,,,,,,,4,1,4,1,5,5,5,5,2,4,5,,,,,,,,,,,,5,4,5,5,5,5,5,3,4,,,,,,,6,7,1,,7,cape verde,22,,,,,,PT-BR,,,,professor di Ingles
4/5/18 11:21,4/5/18 11:51,IP Address,216.163.221.198,100,1838,TRUE,2018-04-05T11:51:52,R_3PgBgxUhDwzi2fA,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,8290,11th,,,,,,,,,,,,,,,,,,,,2,2,5,5,,,,,,,,,4,4,3,,,,,,,2,3,2,4,2,1,1,2,1,4,4,5,4,3,2,4,3,1,3,5,4,5,3,3,4,4,4,,,,,,2,4,2,5,4,3,2,4,3,4,6,2,2,,4,,15,,,,,,ES,,,,maestro de InglÃ©s
5/30/18 11:57,5/30/18 12:29,IP Address,216.163.221.198,100,1942,TRUE,2018-05-30T12:29:53,R_2Bs2NnHQepj0Y4G,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,4613,11th,4,3,1,,,,,,,,,,3,4,4,4,4,4,3,2,3,3,5,5,5,4,4,5,4,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,1,1,3,5,4,5,4,3,3,5,3,4,2,3,4,4,4,4,4,4,,,,,,,6,7,2,,4,,16,,,,,,ES,,maestro de ciencias,,
5/30/18 13:48,5/30/18 14:21,IP Address,216.163.221.198,100,1974,TRUE,2018-05-30T14:21:53,R_BtuXZrK7UPVLROV,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,2573,11th,2,4,1,,,,,,,,,,4,1,2,4,4,4,3,1,1,2,2,4,,3,1,,3,,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,3,2,1,4,3,1,1,,5,,,2,1,1,4,5,4,1,2,2,,,,,,,,,2,,,,15,,,,,,ES,,,,maestro de InglÃ©s
4/5/18 12:24,4/5/18 12:58,IP Address,216.163.221.198,100,2064,TRUE,2018-04-05T12:58:56,R_qxVbpdoyfHAsU37,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,676,11th,2,1,1,,,,,,,,,,4,3,4,3,5,5,4,4,2,3,4,4,5,5,4,4,4,3,1,5,4,5,,,,,,,,,,,,,,,,,,,,,,,1,1,3,5,5,5,2,3,4,5,4,5,3,5,5,2,5,5,4,5,,,,,,,7,7,1,,4,,12,,,,,,ES,,,Social Studies teacher,
5/30/18 14:38,5/30/18 15:15,IP Address,216.163.221.198,100,2229,TRUE,2018-05-30T15:15:19,R_xAvJ9Vuh5rWC6Ln,,,,,42.32269287,-71.08470154,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,3324,11th,4,4,2,,,,,,,,,,3,4,2,2,3,2,3,3,4,3,5,2,4,5,2,4,2,2,3,2,4,2,,,,,,,,,,,,5,3,4,4,5,2,2,4,4,4,3,,,,,,,,,,,,2,4,2,2,4,3,5,4,4,,,,,,,2,7,2,,3,,3,,,,,,EN,,,,English teacher
5/14/18 13:59,5/14/18 14:37,IP Address,216.163.221.198,100,2298,TRUE,2018-05-14T14:37:38,R_81tZSgBLsoWeoOR,,,,,42.2848053,-71.07409668,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,289,11th,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,,,,,,,,,,5,4,4,5,4,1,2,4,4,5,5,2,5,2,2,1,5,5,2,5,4,5,2,4,3,5,3,3,2,2,5,5,,,,,3,4,4,4,4,2,6,6,2,,3,,3,,,,,,EN,,Science teacher,,
5/9/18 14:02,5/9/18 14:42,IP Address,216.163.221.198,100,2388,TRUE,2018-05-09T14:42:19,R_sSgiWBlAzrG10L7,,,,,42.2848053,-71.07409668,anonymous,EN,Boston,,00350548,Boston Adult Technical Academy,,,,,,381,11th,,,,,,,,,,,,,,,,,,,,4,5,5,5,,,,,,,,,5,5,5,,,,,,,5,5,5,5,5,5,2,5,2,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,5,5,5,,,,,,5,5,5,5,5,5,5,5,,5,7,7,1,,3,,3,,,,,,EN,,Science teacher,,
4/5/18 12:22,4/5/18 13:02,IP Address,216.163.221.198,100,2395,TRUE,2018-04-05T13:2:49,R_2y3E3dyczF7Srfn,,,,,42.30589294,-71.08589935,anonymous,PT-BR,Boston,,00350548,Boston Adult Technical Academy,,,,,,2740,11th,,,,,,,,,,,,,,,,,,,,2,2,4,5,,,,,,,,,3,4,5,,,,,,,1,4,5,5,3,3,1,5,1,5,4,4,4,1,3,5,4,4,1,5,3,1,2,4,4,5,4,,,,,,5,4,5,5,5,5,5,5,5,5,7,7,1,,7,,23,,,,,,PT-BR,,,,Professor de InglÃªs
4/5/18 13:05,4/5/18 13:47,IP Address,216.163.221.198,100,2537,TRUE,2018-04-05T13:47:22,R_3lYPTTCbXWix3zx,,,,,42.30589294,-71.08589935,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,676,11th,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,1,,,,,,,,,,3,4,3,4,4,4,1,5,1,5,5,5,5,3,5,4,1,1,3,5,3,5,2,4,4,5,5,5,4,5,5,5,,,,,5,5,5,5,5,5,7,7,1,,4,,12,,,,,,ES,,,,maestro de InglÃ©s
5/30/18 11:56,5/30/18 12:40,IP Address,216.163.221.198,100,2628,TRUE,2018-05-30T12:40:43,R_3rJ6TIq2TqnHENx,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,767,11th,,,,,,,,,,,,,,,,,,,,5,4,4,3,,,,,,,,,3,5,4,,,,,,,4,4,2,4,3,3,1,4,2,,4,4,5,3,1,1,1,4,3,3,4,3,5,4,3,3,4,,,,,,4,4,4,5,4,4,4,4,4,4,7,7,2,,4,,1,,,,,,ES,maestro de matemÃ¡ticas,,,
4/5/18 12:23,4/5/18 13:08,IP Address,216.163.221.198,100,2743,TRUE,2018-04-05T13:9:0,R_241uYsqDn3LmYSn,,,,,42.30589294,-71.08589935,anonymous,CREOLE-CV,Boston,,00350548,Boston Adult Technical Academy,,,,,,3920,11th,,,,,,,,,,,,,2,2,3,2,4,2,1,,,,,2,2,1,1,,,,,,,,,,,,,,3,4,2,5,3,1,1,5,1,4,3,4,2,3,3,5,3,4,1,2,4,4,2,3,5,3,4,,,,,,,,,,4,2,4,4,2,4,6,2,1,,3,,23,,,,,,CREOLE-CV,,,professor di estudus sosiais,
5/31/18 12:21,5/31/18 13:07,IP Address,216.163.221.198,100,2745,TRUE,2018-05-31T13:7:5,R_123DMke5FmP7HPV,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,3237,11th,1,1,1,,,,,,,,,,3,4,5,5,3,3,4,5,5,3,4,5,3,3,5,5,5,3,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,5,1,5,4,5,5,5,4,5,5,5,5,5,5,5,,,,,,,7,7,1,,4,,16,,,,,,ES,,,maestro de estudios sociales,
5/30/18 11:57,5/30/18 13:32,IP Address,216.163.221.198,100,5743,TRUE,2018-05-30T13:32:48,R_2ZIlq4G8NspaEgy,,,,,42.32269287,-71.08470154,anonymous,ES,Boston,,00350548,Boston Adult Technical Academy,,,,,,7264,11th,,,,,,,,,,,,,3,3,4,3,2,3,2,,,,,4,4,4,4,,,,,,,,,,,,,,2,3,4,4,5,2,1,4,2,4,3,3,4,4,5,4,4,3,4,3,4,2,3,3,3,4,4,,,,,,,,,,3,5,5,4,3,5,6,6,1,,4,,1,,,,,,ES,,maestro de ciencias,,