StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,School,Which of the following best describes the role you play at your school? Please select only 1 choice.,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-sach-q1,t-sach-q2,t-sach-q3,STD,Please give us any additional feedback about the survey.,"If there is anything you would like us to know about your school that we did not ask about, please tell us.",How easy to understand were the questions?,
2022-12-07 14:43:16,2022-12-07 14:50:12,0,131.239.118.50,100,416,1,2022-12-07T14:50:13,R_10uX6UZZS08EBUh,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,4,5,5,4,4,3,5,5,4,5,2,2,2,2,5,4,3,2,3,5,3,4,4,3,3,3,3,3,4,3,5,3,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,1,2,1,4,4,2,3,3,3,3,4,4,3,5,4,1,4,2,2,2,2,1.061660093,,,10,
2022-12-07 14:40:29,2022-12-07 14:47:57,0,131.239.118.35,100,448,1,2022-12-07T14:47:58,R_vNductwKAfpbvrz,42.6351,-71.3014,anonymous,EN,3,1600360,1,4,4,4,4,4,5,3,1,4,4,4,4,3,3,2,3,4,3,4,5,5,5,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,2,2,1,5,5,3,4,3,3,3,3,3,3,4,3,4,4,4,3,2,3,0.8469895539,,,10,
2022-12-07 14:40:33,2022-12-07 14:48:24,0,208.118.224.210,100,471,1,2022-12-07T14:48:25,R_01eof63EWltEwiR,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,5,4,4,5,5,2,5,4,4,5,2,3,2,3,3,3,3,4,4,4,3,4,4,3,3,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,4,3,4,4,3,4,5,2,3,1,5,5,3,4,1,2,3,3,4,3,4,4,4,3,3,1,1,1,1.055008757,More accountability needs to be given back to the students, too many are behind grade level yet continue to be passed.,I feel as though my school is doing the best we can with the students in front of us.,9
2022-12-07 14:40:31,2022-12-07 14:48:25,0,131.239.118.17,100,473,1,2022-12-07T14:48:25,R_3oXhHeGa6siBA9y,42.6351,-71.3014,anonymous,EN,3,1600360,3,5,5,5,4,4,5,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,1,2,1,5,4,3,4,3,3,4,3,4,3,4,4,4,4,3,,,,0.788887084,,,10,
2022-12-07 14:40:32,2022-12-07 14:48:29,0,131.239.118.3,100,477,1,2022-12-07T14:48:30,R_20Vdxg5W1fBqoHK,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,5,4,3,5,5,2,4,4,4,3,3,3,4,4,5,4,5,4,4,4,4,4,3,4,4,4,4,3,5,4,4,3,3,4,3,3,3,5,5,4,3,5,5,4,4,5,3,2,2,1,4,4,2,3,3,4,5,2,3,2,3,4,3,3,4,2,2,2,0.9952267031,,,7,
2022-12-07 14:40:48,2022-12-07 14:48:57,0,208.118.224.219,100,488,1,2022-12-07T14:48:57,R_w00SaoMCx1lgfCx,42.6351,-71.3014,anonymous,EN,3,1600360,3,4,5,4,4,4,5,4,3,4,5,5,4,3,3,3,3,4,2,4,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,4,5,1,1,1,3,3,1,4,3,3,3,3,4,3,4,4,3,3,3,,,,0.9085253781,,,5,
2022-12-07 14:40:51,2022-12-07 14:49:00,0,131.239.118.28,100,488,1,2022-12-07T14:49:1,R_3Kuso08m4kKklD0,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,5,4,4,5,4,3,5,4,4,4,3,3,3,3,5,1,4,4,5,5,5,5,5,3,4,4,3,3,4,4,4,3,2,4,4,4,4,3,4,4,4,4,5,4,4,4,4,1,1,1,4,5,3,3,3,3,4,4,4,3,5,4,4,4,4,2,1,1,1.099689397,,,10,
2022-12-07 14:46:42,2022-12-07 14:54:52,0,131.239.118.25,100,489,1,2022-12-07T14:54:52,R_24uDcH7Bc7AQfo8,42.6351,-71.3014,anonymous,EN,3,1600360,4,4,4,4,5,4,5,4,3,,,,,3,3,3,4,,,,4,4,4,,,,5,5,4,3,4,3,3,,,,4,4,3,3,3,5,5,5,5,,,,,5,2,3,3,4,4,4,4,,,,3,3,3,3,,,,,,,,0.8035083647,,,9,
2022-12-07 14:40:35,2022-12-07 14:48:59,0,131.239.118.51,100,504,1,2022-12-07T14:49:0,R_1Ld1XvwfDUPYyG8,42.6351,-71.3014,anonymous,EN,3,1600360,4,5,5,4,4,4,5,4,3,,,,,2,2,2,4,,,,4,4,4,,,,2,2,3,3,3,4,2,,,,5,5,5,5,3,5,5,5,5,,,,,5,2,2,1,5,5,3,5,,,,2,5,2,5,,,,,,,,1.278495794,"The School admin is very effective, I feel the phones and social media are a problem.",nope,7,
2022-12-07 14:40:39,2022-12-07 14:49:37,0,208.118.224.218,100,537,1,2022-12-07T14:49:37,R_2YRHXHpYzSuIywW,42.6351,-71.3014,anonymous,EN,3,1600360,1,4,4,4,2,2,5,3,3,4,4,4,4,3,3,3,3,5,4,5,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4,2,2,2,2,1,2,2,2,3,3,4,4,4,4,2,1,1,1,4,4,1,4,4,4,4,2,3,2,3,4,4,4,4,3,3,3,1.02393711,,,6,
2022-12-07 14:41:22,2022-12-07 14:50:29,0,131.239.118.25,100,546,1,2022-12-07T14:50:29,R_2Qfx4hsy7tw9hGk,42.6351,-71.3014,anonymous,EN,3,1600360,1,4,3,4,4,3,4,4,2,5,4,5,5,3,2,3,2,4,2,4,2,2,3,3,3,2,3,3,2,2,4,3,2,4,3,3,3,4,3,3,3,3,3,4,3,4,4,4,4,5,2,1,1,4,4,2,4,3,3,4,2,3,2,3,3,2,3,4,2,2,2,0.9502097404,,,6,
2022-12-07 14:40:34,2022-12-07 14:49:43,0,131.239.118.19,100,548,1,2022-12-07T14:49:44,R_3eoJKqukB5AMyzv,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,4,4,4,4,5,4,1,4,4,4,4,3,3,3,3,5,3,4,3,4,5,3,4,3,3,3,4,4,4,4,4,4,3,3,4,5,4,4,2,4,3,3,3,3,3,3,3,5,3,3,3,5,4,4,4,3,3,4,2,2,2,3,4,3,3,3,3,3,3,0.8120469752,,,8,
2022-12-07 14:40:31,2022-12-07 14:49:54,0,131.239.118.7,100,562,1,2022-12-07T14:49:55,R_2B3RzFNxanh3GaM,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,4,2,2,4,4,2,5,4,4,4,3,3,2,2,5,3,4,4,2,4,2,2,2,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,2,3,3,3,3,3,3,3,3,2,1,1,4,3,1,2,3,4,3,2,4,2,4,3,3,4,4,3,3,3,0.9522774271,,,7,
2022-12-07 14:42:47,2022-12-07 14:52:13,0,131.239.118.51,100,566,1,2022-12-07T14:52:14,R_reiCjZgDBKQgIcF,42.6351,-71.3014,anonymous,EN,3,1600360,1,3,3,4,3,3,4,3,2,4,4,4,3,2,2,2,2,4,1,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,4,3,3,3,3,3,3,1,1,1,4,3,2,3,3,3,3,4,4,3,3,3,2,3,3,1,2,2,0.8043618151,,,8,
2022-12-07 14:40:31,2022-12-07 14:50:11,0,131.239.118.20,100,579,1,2022-12-07T14:50:11,R_8ibYfHmqqZE1xUl,42.6351,-71.3014,anonymous,EN,3,1600360,1,4,4,5,5,4,5,4,3,4,4,5,5,4,4,4,5,5,3,5,4,4,5,3,5,2,3,4,3,4,3,3,2,4,4,5,3,2,4,5,5,5,5,3,4,2,2,4,3,5,3,4,3,5,4,4,5,2,2,2,4,5,4,5,4,4,3,2,2,2,2,1.055499254,,,10,
2022-12-07 14:40:33,2022-12-07 14:50:14,0,131.239.118.59,100,580,1,2022-12-07T14:50:14,R_1O1YbV5CSGWNqQF,42.6351,-71.3014,anonymous,EN,3,1600360,4,5,5,5,5,5,5,4,2,,,,,2,2,2,3,,,,4,4,4,,,,3,4,4,4,4,4,4,,,,4,5,4,2,3,4,4,4,4,,,,,5,1,3,1,3,4,2,3,,,,3,4,3,3,,,,,,,,1.097666911,-,-,10,
2022-12-07 14:41:58,2022-12-07 14:51:59,0,131.239.118.0,100,601,1,2022-12-07T14:51:59,R_3pbzfeDfRDdL0BK,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,4,4,4,3,5,2,2,4,4,4,3,3,3,3,3,4,1,1,4,3,4,3,3,3,3,4,3,3,3,3,2,2,3,2,2,3,4,2,2,3,1,4,4,4,4,4,4,5,1,2,1,3,3,1,1,3,2,4,2,2,2,2,4,4,3,4,3,3,3,1.042472773,,,7,
2022-12-07 14:40:52,2022-12-07 14:51:05,0,208.118.224.217,100,613,1,2022-12-07T14:51:6,R_3NJxykZzGGe3jXC,42.6351,-71.3014,anonymous,EN,3,1600360,3,4,5,4,4,4,5,4,2,5,5,5,5,4,4,3,4,5,2,4,5,4,5,5,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,3,3,3,4,5,2,2,1,4,4,2,4,3,4,4,3,4,4,5,4,3,4,3,,,,0.9012780513,,,10,
2022-12-07 14:40:57,2022-12-07 14:51:10,0,208.118.224.222,100,613,1,2022-12-07T14:51:11,R_3Ld86zsG1BCsmel,42.6351,-71.3014,anonymous,EN,3,1600360,3,5,4,4,4,4,5,4,2,5,5,5,5,3,4,5,5,4,4,4,4,3,5,5,5,4,2,3,2,4,4,3,2,4,4,4,2,2,2,3,4,5,3,4,4,4,5,4,5,4,1,2,2,4,4,4,4,3,4,4,4,5,4,5,5,4,4,4,,,,1.009005134,an N/A response or unsure ,,8,
2022-12-07 14:40:43,2022-12-07 14:50:58,0,208.118.224.215,100,614,1,2022-12-07T14:50:58,R_3qjqzE2308GS87i,42.6351,-71.3014,anonymous,EN,3,1600360,3,4,3,4,4,3,3,3,2,4,4,3,3,2,3,3,2,4,3,3,4,3,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,4,1,3,3,3,3,3,4,5,1,1,1,3,3,3,3,2,3,3,4,5,4,5,3,3,3,3,,,,0.8426659682,,,7,
2022-12-07 14:40:33,2022-12-07 14:50:56,0,208.118.224.219,100,622,1,2022-12-07T14:50:57,R_1gCkio7WbaBwlOR,42.6351,-71.3014,anonymous,EN,3,1600360,1,4,4,2,4,5,4,3,1,4,3,4,3,2,2,2,1,4,3,4,3,2,5,2,2,1,2,3,3,3,3,4,1,3,2,3,3,2,5,2,4,4,2,5,4,4,3,4,5,3,3,4,2,5,2,2,3,4,4,3,3,4,2,3,2,4,3,3,3,3,3,1.04594257,,,8,
2022-12-07 14:43:44,2022-12-07 14:54:31,0,131.239.118.29,100,647,1,2022-12-07T14:54:32,R_27JTJPRty1tNb2h,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,4,4,4,5,3,2,5,4,3,4,3,3,2,2,5,4,4,4,4,5,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,3,4,3,3,4,3,4,3,2,2,4,4,1,1,1,4,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,0.9532552922,,,8,
2022-12-07 14:40:43,2022-12-07 14:51:34,0,131.239.118.3,100,651,1,2022-12-07T14:51:35,R_1dB5ArMtJcprVAY,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,5,4,5,5,4,2,5,5,5,5,3,4,2,4,5,4,5,5,5,5,5,5,5,3,3,4,4,4,4,3,5,5,5,5,5,5,3,3,5,4,5,5,4,3,5,4,4,2,2,1,5,5,1,5,3,3,4,3,3,2,3,3,4,4,4,3,3,3,1.102979214,,,10,
2022-12-07 14:40:33,2022-12-07 14:51:31,0,208.118.224.220,100,658,1,2022-12-07T14:51:32,R_2E0548B071OH9gG,42.6351,-71.3014,anonymous,EN,3,1600360,3,5,5,4,3,4,4,4,2,4,4,4,4,4,3,3,4,4,3,2,4,4,4,3,3,2,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,4,4,3,1,1,1,4,2,2,2,3,3,3,4,4,4,4,4,4,2,3,,,,0.8848184353,,,5,
2022-12-07 14:41:00,2022-12-07 14:52:00,0,208.118.224.214,100,659,1,2022-12-07T14:52:0,R_3D6eM79oXmDRfam,42.6351,-71.3014,anonymous,EN,3,1600360,5,5,4,5,4,2,5,3,3,5,4,5,4,5,4,4,5,5,2,4,5,3,5,3,3,3,3,3,4,4,4,4,4,2,3,2,4,5,3,4,4,4,3,4,4,4,4,4,5,4,1,1,1,5,3,2,4,3,4,3,4,5,4,5,,,,,,,,1.069044968,,,5,
2022-12-07 14:40:40,2022-12-07 14:51:46,0,208.118.224.219,100,666,1,2022-12-07T14:51:47,R_2SiUiJI1GCrBDvI,42.6351,-71.3014,anonymous,EN,3,1600360,5,,4,4,5,5,5,4,5,4,4,5,3,3,4,5,4,4,,3,5,5,5,5,4,5,3,4,4,4,5,4,4,4,3,4,3,3,4,5,5,4,4,4,4,2,,4,4,5,1,1,1,3,4,1,3,3,3,5,4,5,3,4,,,,,,,,1.070798846,,,9,
2022-12-07 14:51:11,2022-12-07 15:02:20,0,208.118.224.218,100,669,1,2022-12-07T15:2:21,R_2dDYj51qK48sH8V,42.6351,-71.3014,anonymous,EN,3,1600360,5,2,3,3,3,3,5,3,3,2,3,3,4,2,2,3,2,5,5,4,4,4,3,5,4,4,3,4,3,3,4,3,3,4,4,4,3,3,2,4,3,4,1,3,3,4,3,4,4,5,3,3,4,4,4,3,5,3,4,4,3,4,2,3,,,,,,,,0.8714038088,,,9,
2022-12-07 14:40:37,2022-12-07 14:51:51,0,131.239.118.13,100,674,1,2022-12-07T14:51:52,R_3nvfa1bydeQ5MiA,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,5,5,5,5,4,5,2,4,4,4,4,1,4,2,3,4,4,5,5,5,5,5,5,5,3,4,4,4,3,4,4,4,5,5,2,3,4,4,4,5,2,2,3,4,3,4,4,3,3,2,2,5,5,4,5,3,4,4,4,4,2,3,4,4,4,4,3,2,3,1.029985226,n/a,n/a,8,
2022-12-07 14:40:40,2022-12-07 14:52:21,0,208.118.224.214,100,700,1,2022-12-07T14:52:21,R_3NL4GumNsIx1aK8,42.6351,-71.3014,anonymous,EN,3,1600360,1,5,4,5,3,4,5,2,3,4,4,4,3,3,3,4,3,4,3,2,4,4,5,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,2,2,4,3,3,4,5,5,2,2,1,3,3,3,3,3,4,4,4,4,2,3,4,3,3,3,2,1,2,0.9095763808,,,8,
2022-12-07 14:41:18,2022-12-07 14:53:08,0,208.118.224.218,100,709,1,2022-12-07T14:53:8,R_3qOqzGQCeilYAdn,42.6351,-71.3014,anonymous,EN,3,1600360,1,4,5,5,2,2,4,3,1,4,4,4,3,3,2,2,2,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,4,4,1,1,1,4,3,1,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,0.841594661,,,7,
