District,Academic Year,LASID,HispanicLatino,Race,Gender,SpecialEdStatus,In 504 Plan,LowIncome,EL Student First Year
Maynard Public Schools,2022-23,248,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,249,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,250,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,251,FALSE,"Black, Caucasian",M,Exited,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,252,FALSE,"Black, Caucasian",F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,253,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,254,FALSE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,255,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,256,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,257,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,258,FALSE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,259,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,260,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,261,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,262,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,263,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,264,TRUE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,265,TRUE,Caucasian,F,,,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,266,TRUE,Caucasian,M,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,267,FALSE,Caucasian,F,,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,268,TRUE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,269,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,270,TRUE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,271,TRUE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,272,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,273,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,274,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,275,FALSE,Black,M,,,Free Lunch,
Maynard Public Schools,2022-23,276,FALSE,Black,F,,,Free Lunch,
Maynard Public Schools,2022-23,277,FALSE,Black,F,,,Free Lunch,
Maynard Public Schools,2022-23,278,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,279,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,280,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,281,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,282,TRUE,Caucasian,M,Active,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,283,TRUE,Caucasian,F,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,284,TRUE,Caucasian,F,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,285,TRUE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,286,TRUE,Caucasian,M,,504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,287,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,288,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,289,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,290,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,291,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,292,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,293,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,294,FALSE,Caucasian,M,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,295,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,296,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,297,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,298,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,299,FALSE,Caucasian,M,Active,504,Not Eligible,
Maynard Public Schools,2022-23,300,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,301,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,302,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,303,FALSE,"Asian, Black",M,,,Not Eligible,
Maynard Public Schools,2022-23,304,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,305,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,306,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,307,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,308,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,309,TRUE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,310,TRUE,Caucasian,F,,,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,311,TRUE,Caucasian,F,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,312,TRUE,Caucasian,M,,504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,313,TRUE,Caucasian,M,Active,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,314,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,315,FALSE,Caucasian,M,Active,Not 504,Not Eligible,
Maynard Public Schools,2022-23,316,FALSE,Caucasian,M,Exited,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,317,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,318,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,319,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,320,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,321,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,322,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,323,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,324,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,325,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,326,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,327,TRUE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,328,TRUE,Caucasian,M,,,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,329,TRUE,Caucasian,F,,,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,330,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,331,FALSE,,M,,,Not Eligible,
Maynard Public Schools,2022-23,332,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,333,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,334,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,335,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,336,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,337,FALSE,Native American,M,Active,,Not Eligible,
Maynard Public Schools,2022-23,338,TRUE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,339,FALSE,"Black, Caucasian",F,,,Not Eligible,
Maynard Public Schools,2022-23,340,FALSE,"Black, Caucasian",F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,341,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,342,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,343,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,344,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,345,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,346,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,347,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,348,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,349,TRUE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,350,TRUE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,351,TRUE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,352,FALSE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,353,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,354,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,355,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,356,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,357,FALSE,Caucasian,M,,504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,358,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,359,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,360,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,361,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,362,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,363,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,364,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,365,FALSE,Black,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,366,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,367,FALSE,Caucasian,M,,504,Not Eligible,
Maynard Public Schools,2022-23,368,FALSE,Caucasian,M,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,369,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,370,FALSE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,371,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,372,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,373,FALSE,"Asian,Caucasian",F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,374,FALSE,Caucasian,M,,,Free Lunch,
Maynard Public Schools,2022-23,375,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,376,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,377,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,378,FALSE,Caucasian,F,Active,Not 504,Not Eligible,
Maynard Public Schools,2022-23,379,FALSE,Caucasian,F,Exited,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,380,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,381,FALSE,Caucasian,F,Active,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,382,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,383,TRUE,Black,F,Active,Not 504,Free Lunch,LEP student not 1st year
Maynard Public Schools,2022-23,384,TRUE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,385,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,386,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,387,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,388,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,389,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,390,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,391,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,392,FALSE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,393,FALSE,"Caucasian,Native American",F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,394,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,395,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,396,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,397,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,398,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,399,FALSE,"Caucasian,Native American",M,,504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,400,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,401,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,402,FALSE,Caucasian,F,,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,403,FALSE,Caucasian,M,,Not 504,Reduced Lunch,Does not apply
Maynard Public Schools,2022-23,404,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,405,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,406,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,407,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,408,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,409,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,410,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,411,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,412,TRUE,Native American,F,,,Not Eligible,
Maynard Public Schools,2022-23,413,TRUE,Native American,F,,504,Not Eligible,
Maynard Public Schools,2022-23,414,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,415,FALSE,Asian,M,,Not 504,Not Eligible,
Maynard Public Schools,2022-23,416,TRUE,Native American,F,,,Not Eligible,
Maynard Public Schools,2022-23,417,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,418,TRUE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,419,FALSE,Asian,M,Exited,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,420,FALSE,Asian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,421,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,422,FALSE,"Asian,Caucasian",F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,423,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,424,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,425,FALSE,Caucasian,M,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,426,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,427,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,428,FALSE,Caucasian,F,,,Free Lunch,Does not apply
Maynard Public Schools,2022-23,429,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,430,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,431,TRUE,Caucasian,M,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,432,TRUE,Caucasian,M,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,433,TRUE,Native American,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,434,TRUE,Native American,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,435,TRUE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,436,TRUE,Caucasian,M,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,437,TRUE,Caucasian,M,,,Not Eligible,Does not apply
Maynard Public Schools,2022-23,438,TRUE,Caucasian,M,,Not 504,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,439,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,440,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,441,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,442,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,443,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,444,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,445,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,446,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,447,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,448,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,449,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,450,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,451,TRUE,Caucasian,F,,,Free Lunch,LEP student 1st year
Maynard Public Schools,2022-23,452,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,453,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,454,FALSE,Caucasian,M,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,455,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,456,FALSE,"Caucasian,Pacific Island",F,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,457,FALSE,Black,M,,,Free Lunch,
Maynard Public Schools,2022-23,458,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,459,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,460,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,461,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,462,TRUE,Caucasian,F,,,Free Lunch,
Maynard Public Schools,2022-23,463,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,464,FALSE,Caucasian,F,,Not 504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,465,FALSE,Caucasian,F,,,Not Eligible,Does not apply
Maynard Public Schools,2022-23,466,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,467,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,468,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,469,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,470,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,471,FALSE,Caucasian,N,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,472,FALSE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,473,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,474,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,475,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,476,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,477,TRUE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,478,TRUE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,479,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,480,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,481,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,482,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,483,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,484,FALSE,Caucasian,M,Active,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,485,FALSE,Caucasian,M,,,Not Eligible,
Maynard Public Schools,2022-23,486,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,487,FALSE,Caucasian,F,,504,Free Lunch,Does not apply
Maynard Public Schools,2022-23,488,TRUE,Caucasian,M,,,Not Eligible,LEP student not 1st year
Maynard Public Schools,2022-23,489,FALSE,Caucasian,F,Exited,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,490,FALSE,Caucasian,M,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,491,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,492,FALSE,Caucasian,F,,504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,493,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,494,TRUE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,495,TRUE,Caucasian,M,Active,Not 504,Free Lunch,
Maynard Public Schools,2022-23,496,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,497,TRUE,Caucasian,F,,,Not Eligible,
Maynard Public Schools,2022-23,498,FALSE,Caucasian,M,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,499,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
Maynard Public Schools,2022-23,500,FALSE,Caucasian,F,,Not 504,Not Eligible,Does not apply
